dataAtualizacao,dataPublicacaoPncp,cnpj,quantidade,valorTotal,anoPca,razaoSocial,poder,esfera,ano
2023-12-12T18:04:46,2023-05-19T20:08:14,21040001000130,1574,78215168.1075,2023,UNIVERSIDADE FEDERAL DE ITAJUBA,E,F,2023
2023-11-30T16:26:19,2023-05-19T21:29:43,21186804000105,304,89782574.5992,2023,UNIVERSIDADE FEDERAL DE SAO JOAO DEL-REI,E,F,2023
2023-12-28T11:21:28,2023-05-19T21:17:59,23070659000110,350,53649919.8606,2023,UNIVERSIDADE FEDERAL DE OURO PRETO,E,F,2023
2023-12-06T10:10:16,2023-05-20T05:13:43,23612685000122,294,1903822327.96,2023,MINISTERIO DO TRABALHO,E,F,2023
2023-12-21T11:12:19,2023-05-19T20:27:11,24098477000110,5888,156032790.9282,2023,UNIVERSIDADE FEDERAL DA PARAIBA,E,F,2023
2023-12-29T15:32:50,2023-05-19T20:33:41,24134488000108,2344,474247284.642,2023,UNIVERSIDADE FEDERAL DE PERNAMBUCO,E,F,2023
2023-11-03T19:48:10,2023-05-19T20:35:17,24365710000183,86,124468008.91,2023,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,E,F,2023
2023-11-03T19:48:10,2023-05-19T20:49:12,24416174000106,87,75000000.0,2023,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,E,F,2023
2023-11-23T15:37:27,2023-05-19T20:13:13,25437484000161,666,33991923.6,2023,UNIVERSIDADE FEDERAL DO TRIANGULO MINEIRO,E,F,2023
2023-11-03T19:48:10,2023-05-19T21:23:42,25944455000196,3949,161961898.3576,2023,UNIVERSIDADE FEDERAL DE VICOSA,E,F,2023
2023-12-05T19:09:00,2023-05-20T05:08:37,26664015000148,196,246020284.44,2023,CONTROLADORIA-GERAL DA UNIAO,E,F,2023
2023-11-21T14:10:20,2023-05-20T05:21:56,27136980000100,173,270829013.62,2023,"MINISTERIO DA MULHER, DA FAMILIA E DOS DIREITOS HUMANOS",E,F,2023
2023-07-28T12:03:55,2023-07-25T11:08:54,27507884000121,90,228558.8,2023,SECRETARIA DE ESTADO DE COMUNICACAO DO DISTRITO FEDERAL,E,D,2023
2023-09-26T09:56:06,2023-09-26T09:56:06,31727449000180,48,1041190.18,2023,CAMARA MUNICIPAL DE MUQUI,L,M,2023
2023-12-29T14:08:05,2023-05-19T20:19:10,32479123000143,3240,136948770.4229,2023,UNIVERSIDADE FEDERAL DO ESPIRITO SANTO,E,F,2023
2023-11-03T19:48:10,2023-05-20T05:07:35,32901688000177,59,3002270.0,2023,FUNDACAO CULTURAL PALMARES,E,F,2023
2023-12-05T16:49:14,2023-05-19T21:17:02,33004540000100,791,158839867.6404,2023,FUNDACAO UNIVERSIDADE FEDERAL DE MATO GROSSO,E,F,2023
2023-12-28T19:10:24,2023-05-19T20:00:49,33663683000116,7967,775847105.955,2023,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,E,F,2023
2023-12-30T16:08:30,2023-05-20T04:09:06,33781055000135,9632,13603162347.4895,2023,FUNDACAO OSWALDO CRUZ,E,F,2023
2023-12-21T13:22:26,2023-05-19T19:32:02,33787094000140,1980,277688255.8803,2023,FUNDACAO INSTIT BRAS DE GEOGRAFIA E ESTATISTICA IBGE,E,F,2023
2023-12-20T11:53:12,2023-05-19T19:31:33,33892175000100,197,50464674.06,2023,INSTITUTO DE PESQUISA ECONOMICA APLICADA,E,F,2023
2023-08-22T16:55:12,2023-08-22T16:55:12,34346776000180,226,1286726.53,2023,SECRETARIA DE ESTADO DE TRABALHO DO DISTRITO FEDERAL,E,D,2023
2023-11-20T11:53:54,2023-05-19T21:30:31,34792077000163,797,40296150.4801,2023,UNIVERSIDADE FEDERAL DE RORAIMA,E,F,2023
2023-11-28T14:57:41,2023-05-19T21:31:20,34868257000181,291,31613384.03,2023,FUNDACAO UNIVERSIDADE FEDERAL DO AMAPA,E,F,2023
2023-08-21T14:02:40,2023-08-21T14:02:40,35219234000109,6,4392.1,2023,ADMINISTRACAO REGIONAL DO SOL NASCENTE/POR DO SOL - RA XXXII,E,D,2023
2023-12-07T15:49:27,2023-12-07T15:49:27,35933557000160,711,27943167.46,2023,FUNDACAO AMAZONAS DE ALTO RENDIMENTO,E,E,2023
2023-11-22T17:00:55,2023-05-19T20:03:28,42441758000105,1246,56267063.7804,2023,CENTRO FED DE ED TECNOLOGICA CELSO SUCKOW DA FONSECA RJ,E,F,2023
2023-11-13T18:28:26,2023-05-20T05:10:22,37115342000167,112,166265398.7243,2023,MINISTERIO DA INFRAESTRUTURA,E,F,2023
2023-11-30T16:39:08,2023-11-22T11:49:15,37115367000160,3,1226700.01,2023,MINISTERIO DO TRABALHO E EMPREGO - MTE,E,F,2023
2023-11-03T19:48:10,2023-05-20T05:22:46,37115474000199,51,2619815.0,2023,CONSELHO REGIONAL DE PSICOLOGIA QUARTA REGIAO,E,F,2023
2023-08-01T09:49:31,2023-07-25T11:50:11,37243908000136,85,115852.99,2023,ADMINISTRACAO REGIONAL DE ARNIQUEIRA,E,D,2023
2023-11-03T19:48:10,2023-05-20T05:14:42,37753638000103,258,1897116011.1296,2023,MINISTERIO DAS COMUNICACOES,E,F,2023
2023-11-03T19:48:10,2023-05-20T05:24:26,39223581000166,291,50393534.0176,2023,MUNICIPIO DE RIO DAS OSTRAS,N,M,2023
2024-01-11T10:31:30,2023-05-20T05:07:56,40176679000199,581,73288632.35,2023,FUNDACAO BIBLIOTECA NACIONAL,E,F,2023
2023-02-17T10:30:32,2023-02-17T10:30:32,12359527000196,35,1030000.0,2023,MUNICIPIO DE GUAIUBA - CAMARA MUNICIPAL,L,M,2023
2023-12-15T11:25:14,2023-05-20T00:45:39,12397930000100,41,30202052.66,2023,UNIVERSIDADE DA INTEGRACAO INTERNACIONAL DA LUSOFONIA AFRO-BRASILEIRA,E,F,2023
2023-02-17T10:25:42,2023-02-17T10:25:42,12467577000197,30,867251.0,2023,MUNICIPIO DE QUIXELO - CAMARA MUNICIPAL,L,M,2023
2023-12-20T15:51:45,2023-05-19T21:22:03,13031547000104,3344,185639206.852,2023,FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE,E,F,2023
2023-11-03T19:48:10,2023-05-20T05:22:56,13128798000101,1695,230570004.37,2023,ESTADO DE SERGIPE,N,E,2023
2023-11-21T12:35:38,2023-05-20T05:25:19,13937032000160,4,901665.0,2023,ESTADO DA BAHIA,N,E,2023
2023-10-18T13:07:35,2023-10-18T13:07:35,14877478000109,395,2237878.76,2023,FUNDO ESPECIAL DA PROCURADORIA GERAL DO ESTADO DO AMAZONAS - FUNDPGE,E,E,2023
2023-12-12T10:33:55,2023-05-20T05:22:41,14981648000109,113,909030.6576,2023,CONSELHO DE ARQUITETURA E URBANISMO DO DISTRITO FEDERAL,E,F,2023
2023-08-07T16:13:01,2023-07-28T15:30:40,15169975000115,73,88288.64,2023,SECRETARIA DE ESTADO DA MULHER DO DISTRITO FEDERAL,E,D,2023
2023-11-03T19:48:10,2023-05-19T20:16:52,15180714000104,1658,286024740.83,2023,UNIVERSIDADE FEDERAL DA BAHIA,E,F,2023
2023-11-29T09:47:50,2023-05-20T05:22:32,15424948000141,178,60431204.95,2023,TRIBUNAL DE CONTAS DO ESTADO DE MATO GROSSO DO SUL,L,E,2023
