dataAtualizacao,dataPublicacaoPncp,cnpj,quantidade,valorTotal,anoPca,razaoSocial,poder,esfera
2024-07-04T12:51:58,2024-07-04T12:51:58,10054583000197,166,3715729.17,2025,JUNTA COMERCIAL DO ESTADO DE PERNAMBUCO,E,E
2025-05-28T11:53:02,2025-05-28T11:06:08,10091510000175,238,92460497.98,2025,MUNICIPIO DE BEZERROS,N,M
2024-10-08T11:53:22,2024-10-08T11:53:04,10111631000131,2042,109416032.0979,2025,MUNICIPIO DE SAO JOSE DA COROA GRANDE,N,M
2025-05-12T20:33:12,2025-05-12T20:33:12,10212447000188,7,209086601.58,2025,MUNICIPIO DE PALMARES,N,M
2024-12-20T15:52:11,2024-12-20T15:47:54,10225642000142,104,242700.52,2025,INSTITUTO DE PREVIDENCIA DOS SERVIDORES TITULARES DE CARGO EFETIVO DO MUNICIPIO DE CARAZINHO - PREVICARAZINHO,E,M
2025-01-06T14:59:10,2025-01-03T17:00:37,10257397000155,37,2891000.0,2025,FUNDACAO MUNICIPAL DE ESPORTES DE CAMBORIU,E,M
2025-05-19T11:56:06,2025-01-03T14:38:22,10280055000156,118,68389349.62,2025,MUNICIPIO DE SAO JOSE DO BELMONTE,N,M
2025-06-23T21:21:27,2025-06-23T21:20:22,10306292000149,169,14381500.34,2025,AGENCIA DE PREVIDENCIA SOCIAL DE MATO GROSSO DO SUL,E,E
2025-05-22T17:04:24,2025-05-22T17:04:17,10348050000118,66,14564795.81,2025,MUNICIPIO DE SOLIDAO,N,M
2025-02-10T20:19:39,2024-06-26T09:38:39,10572014000729,40,1228025.0,2025,SECRETARIA DA FAZENDA,E,E
2024-09-16T14:50:34,2024-09-16T14:37:51,10379642000105,65,2819500.0,2025,MUNICIPIO DE FORQUILHA - CAMARA MUNICIPAL,L,M
2024-09-20T08:38:55,2024-09-20T08:38:05,10380103000188,23,1092000.0,2025,MUNICIPIO DE SANTANA DO ACARAU - CAMARA MUNICIPAL,L,M
2025-06-09T15:26:21,2025-01-02T12:05:01,10393593000157,3897,201053155.1,2025,MUNICIPIO DE ICAPUI,N,M
2025-07-15T15:41:19,2024-05-27T09:25:03,10427499000171,2395,169368611.5146,2025,FUNDO MUNICIPAL DE SAUDE DE PRESIDENTE KENNEDY-ES,E,M
2024-08-20T10:07:43,2024-08-13T13:57:42,10432684000154,738,34008487.7696,2025,FUNDO MUNICIPAL DE SAUDE,E,M
2025-05-13T11:38:26,2024-12-04T07:38:45,10440085000182,139,279441.6693,2025,INSTITUTO DE PREVIDENCIA SOCIAL DOS SERVIDORES PUBLICOS DO MUNICIPIO DE TEOTONIO VILELA,E,M
2025-06-18T10:18:25,2024-08-13T14:50:51,10516573000126,58,5429766.83,2025,MUNICIPIO DE QUIXERAMOBIM - CAMARA MUNICIPAL,L,M
2025-07-10T11:46:35,2025-01-29T10:35:52,10517563000105,363,68052876.48,2025,MUNICIPIO DE MIRAIMA,N,M
2025-04-03T14:17:23,2025-04-03T14:17:23,10559279000100,233,68992692.98,2025,SUPERINTENDENCIA DE AGUA E ESGOTO DE CATANDUVA,E,M
2025-03-13T11:05:18,2024-07-04T13:07:00,10572014000133,202,18259694.33,2025,SECRETARIA DA FAZENDA,E,E
2025-05-05T08:48:41,2024-06-26T09:38:39,10572014000303,39,263566.72,2025,SECRETARIA DA FAZENDA,E,E
2025-02-10T20:19:41,2024-06-28T14:37:19,10572014000567,49,42089.3,2025,SECRETARIA DA FAZENDA,E,E
2025-02-10T20:19:38,2024-06-26T09:38:39,10572014000648,5,63998.0,2025,SECRETARIA DA FAZENDA,E,E
2025-02-10T20:19:37,2024-07-04T10:57:00,10572014000800,7,8304000.0,2025,SECRETARIA DA FAZENDA,E,E
2025-02-10T20:19:42,2024-06-26T09:38:40,10572014001105,22,166416.0,2025,SECRETARIA DA FAZENDA,E,E
2025-06-02T14:17:16,2025-05-30T15:10:23,10572113000115,22,10652749.04,2025,SECRETARIA DE DESENVOLVIMENTO ECONOMICO,E,E
2025-06-18T09:10:52,2024-12-24T10:20:45,10589926000118,82,698952.52,2025,FUNDO DE APOSENTADORIA E PENSOES DOS SERVIDORES MUNICIPAIS DE SAO LUIZ GONZAGA - FAPS,E,M
2025-06-02T22:11:17,2025-06-02T22:11:17,10599648000180,984,16285660.21,2025,FUNDO MUNICIPAL DE SAUDE DE JOAO ALFREDO,E,M
2025-07-14T12:36:22,2025-04-11T10:24:26,10599903000194,812,187489448.23,2025,SUBCOMANDO DE ACOES DE DEFESA CIVIL,E,E
2025-06-04T10:31:26,2025-02-06T11:01:50,10626896000172,3,141567.88,2025,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE MINAS GERAIS",E,F
2025-04-25T08:56:24,2024-05-22T16:56:25,10637926000146,936,117178758.95,2025,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO RIO GRANDE DO SUL",E,F
2025-07-17T14:09:28,2024-03-14T14:24:42,10648539000105,3890,274636557.7614,2025,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO SUL DE MINAS GERAIS",E,F
2025-07-15T10:46:19,2024-03-25T08:26:08,10651417000178,7697,130531443.5912,2025,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA GOIANO",E,F
2025-07-07T14:59:53,2024-03-07T14:37:05,10652179000115,6274,583918446.912,2025,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO PARANA",E,F
2025-07-15T14:23:53,2024-03-21T13:55:45,10662072000158,101,113663789.56,2025,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA FARROUPILHA",E,F
2025-07-17T16:47:01,2024-04-25T09:28:31,10695891000100,1788,104002778.1505,2025,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO TRIANGULO MINEIRO",E,F
2025-07-17T11:52:41,2024-04-25T09:14:23,10735145000194,2856,213599410.1289,2025,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO MARANHAO",E,F
2025-07-07T09:49:46,2024-04-25T15:08:55,10763998000130,2276,167697711.5388,2025,"INSTITUTO FEDERAL DE EDUCACAO,CIENCIA E TECNOLOGIA DO PARA",E,F
2025-07-16T15:59:25,2024-04-30T14:24:40,10767239000145,3608,177343035.0135,2025,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE PERNAMBUCO",E,F
2025-01-17T15:28:06,2025-01-17T15:28:06,10778201000178,281,690143.22,2025,INSTITUTO DE PREVIDENCIA DO MUNICIPIO DE AMONTADA AMONTADAPREV,E,M
2025-07-16T10:12:20,2024-05-22T10:30:15,10779511000107,575,84351168.97,2025,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA FLUMINENSE.",E,F
2025-02-24T14:09:48,2024-12-16T10:21:33,10780545000111,5,36605.84,2025,FUNDO DE PREVIDENCIA SOCIAL DO MUNICIPIO-FPSM,E,M
2025-07-16T15:13:22,2024-01-31T12:00:35,10783898000175,5238,333862292.8082,2025,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DA PARAIBA",E,F
2025-07-17T16:25:50,2024-02-29T09:35:58,10784782000150,3481,476987226.463,2025,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE MATO GROSSO",E,F
2025-07-16T10:11:03,2024-11-18T19:03:53,10791831000182,265,213165795.13,2025,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE BRASILIA",E,F
2025-07-17T10:13:30,2024-05-15T17:50:22,10792928000100,2979,175515547.3084,2025,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO AMAZONAS",E,F
2025-07-09T10:16:20,2024-03-21T09:22:59,10806496000149,8383,269495617.5135,2025,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO PIAUI",E,F
2025-06-30T22:17:08,2024-04-30T08:15:19,10820882000195,328,33318442.911,2025,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO AMAPA",E,F
2025-07-17T16:59:04,2024-04-01T22:50:16,10825373000155,1595,216985313.7401,2025,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE ALAGOAS - IF/AL",E,F
2025-07-15T09:53:13,2024-04-30T21:33:59,10830301000104,419,70198555.28,2025,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO SERTAO PERNAMBUCANO",E,F
2025-07-16T19:45:30,2024-04-05T13:01:33,10838653000106,4888,3599858546.3768,2025,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO ESPIRITO SANTO,E,F
2025-07-15T11:09:15,2024-06-11T13:13:17,10839508000131,558,57387680.0,2025,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE RORAIMA",E,F
2025-03-26T15:20:55,2024-12-19T11:31:58,10846103000120,82,106110000.0,2025,AUTARQUIA DE TRANSITO E TRANSPORTE URBANO DO RECIFE - CTTU,E,M
2024-12-27T12:06:57,2024-12-27T12:06:57,10854141000125,288,675964.4804,2025,FUNDACAO DE MEIO AMBIENTE DO PANTANAL,E,M
2025-07-17T15:17:10,2024-04-08T17:26:39,10882594000165,4984,481574685.596,2025,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE SAO PAULO",E,F
2024-12-30T16:31:39,2024-12-30T16:31:37,10884377000104,29,128452436.0,2025,CONSELHO REGIONAL DE MEDICINA DO ESTADO DE ALAGOAS,E,F
2025-05-15T12:03:25,2024-11-28T09:53:39,10918187000160,72,39075216.9086,2025,FUNDO MUNICIPAL DE EMPREENDEDORISMO E INOVACAO - FUMIPEQ,E,M
2025-07-15T16:53:16,2024-04-18T20:08:32,10952708000104,5803,339490406.4178,2025,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO RIO DE JANEIRO",E,F
2025-02-20T16:33:10,2025-02-20T16:33:10,10975589000105,127,3056448.13,2025,INSTITUTO DE PESOS E MEDIDAS DO ESTADO DE PERNAMBUCO,E,E
2025-07-15T16:05:19,2024-06-24T14:00:26,10979446000163,923,516509637.8681,2025,SP CASA CIVIL,E,E
2024-11-27T13:54:06,2024-11-27T13:54:06,11016413000180,6,10619.65,2025,GABINETE DO VICE-PREFEITO,E,M
2024-11-26T16:58:28,2024-05-15T21:06:49,11020634000122,3412,127225642.8352,2025,FUNDACAO ESTATAL SAUDE DA FAMILIA - FESF,E,M
2024-12-26T14:17:54,2024-12-26T14:17:54,11177411000173,4,51170.0,2025,FUNDO DE APOSENTADORIA E PENSAO DOS SERVIDORES DO MUNICIPIO DE VILA FLORES,E,M
2025-06-02T09:55:39,2024-12-16T10:54:46,11206573000192,283,1688519.3885,2025,SUPERINTENDENCIA MUNICIPAL DE TRANSITO E TRANSPORTES - SMTT,E,M
2024-12-13T15:24:09,2024-12-13T15:24:09,11216929000179,93,16411174.82,2025,FUNDACAO ESCOLA DE GOVERNO - ENA,E,E
2025-06-02T16:12:38,2025-05-30T11:24:43,11218352000134,2,206000.0,2025,FUNDO MUNICIPAL DE SAUDE,E,M
2025-02-10T11:49:48,2024-12-30T12:08:55,11224920000100,57,4223175.92,2025,AUTARQUIA DO ENSINO SUPERIOR DE GARANHUNS AESGA,E,M
2024-08-27T14:32:45,2024-08-14T16:14:35,11241709000103,7,744000.0,2025,FUNDO MUNICIPAL DE SAUDE DE ASCURRA,E,M
2024-05-28T13:34:54,2024-05-20T15:44:00,11301643000191,179,1594896.72,2025,FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL DE LUIS ALVES,E,M
2024-05-20T15:04:31,2024-05-20T13:59:39,11301670000164,4,109000.0,2025,FUNDO MUNICIPAL DA INFANCIA E DA ADOLESCENCIA,E,M
2025-05-19T09:10:17,2024-12-23T11:32:25,11303906000100,861,342135145.7,2025,MUNICIPIO DE GARANHUNS,N,M
2024-12-02T10:42:42,2024-12-02T10:42:42,11308356000103,28,1497300.0,2025,CONSORCIO DE DESENVOLVIMENTO SUSTENTAVEL DO TERRITORIO DO SERTAO DO SAO FRANCISCO,E,N
2025-01-20T09:16:30,2025-01-20T09:14:12,11308791000138,65,968357.62,2025,ESTADO DO MARANHAO - ESCOLA DE GOVERNO DO MARANHAO,E,E
2025-01-08T15:01:47,2025-01-06T15:50:08,11312860000187,63,50568000.0,2025,FUNDO MUNICIPAL DE SAUDE DE CAMBORIU,E,M
2024-12-31T09:07:04,2024-12-31T09:06:58,11323077000119,1197,20017372.2643,2025,FUNDO MUNICIPAL DE SAUDE,E,M
2025-05-05T15:45:48,2025-01-08T09:21:28,11336672000199,1475,69230152.2074,2025,FUNDO MUNICIPAL DE SAUDE,E,M
2025-07-15T14:49:35,2025-05-22T10:25:46,11355483000163,117,88408.67,2025,FUNDO MUNICIPAL DE SAUDE DE INDAIAL,E,M
2024-11-28T13:47:20,2024-11-28T13:47:20,11394149000119,71,18734023.81,2025,FUNDO MUNICIPAL DE SAUDE DE BELA CRUZ,E,M
2025-07-17T16:13:20,2024-09-10T14:25:44,11402887000160,7285,92963434.1336,2025,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE SANTA CATARINA",E,F
2024-09-25T13:50:19,2024-09-24T11:55:18,11416444000129,2343,45631838.46,2025,FUNDO MUNICIPAL DE SAUDE,E,M
