anoPca,dataAtualizacao,dataPublicacaoPncp,cnpj,quantidade,valorTotal,razaoSocial,poder,esfera,ano
2022,2023-05-20T06:40:22,2023-05-19T22:37:05,10637926000146,2000,38113087.36,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO RIO GRANDE DO SUL",E,F,2022
2022,2023-11-03T19:48:10,2023-05-19T21:51:31,10648539000105,7107,117037318.72,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO SUL DE MINAS GERAIS",E,F,2022
2022,2023-07-04T20:36:39,2023-07-04T20:23:51,10651417000178,2000,38108884.53,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA GOIANO",E,F,2022
2022,2023-11-03T19:48:10,2023-05-19T21:43:10,10652179000115,7585,100729717.24,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO PARANA",E,F,2022
2022,2023-11-03T19:48:10,2023-05-19T22:28:49,10662072000158,2000,137034977.87,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA FARROUPILHA",E,F,2022
2022,2023-11-03T19:48:10,2023-05-19T22:21:20,10695891000100,6362,46167320.08,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO TRIANGULO MINEIRO",E,F,2022
2022,2023-11-03T19:48:10,2023-05-19T21:53:55,10735145000194,7950,425957292.03,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO MARANHAO",E,F,2022
2022,2023-11-03T19:48:10,2023-05-19T23:09:19,10763998000130,3498,42475492.04,"INSTITUTO FEDERAL DE EDUCACAO,CIENCIA E TECNOLOGIA DO PARA",E,F,2022
2022,2023-11-03T19:48:10,2023-05-19T19:49:25,10767239000145,9454,291151725.3,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE PERNAMBUCO",E,F,2022
2022,2023-11-03T19:48:10,2023-05-19T22:02:25,10779511000107,6499,77042758.07,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA FLUMINENSE.",E,F,2022
2022,2023-11-03T19:48:10,2023-05-19T21:55:03,10783898000175,10640,147426001.09,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DA PARAIBA",E,F,2022
2022,2023-11-03T19:48:10,2023-05-19T23:21:03,10784782000150,8011,153268487.1,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE MATO GROSSO",E,F,2022
2022,2023-11-03T19:48:10,2023-05-19T19:51:39,10791831000182,4859,111295892.6,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE BRASILIA",E,F,2022
2022,2023-11-03T19:48:10,2023-05-19T21:51:26,10792928000100,4400,119934340.12,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO AMAZONAS",E,F,2022
2022,2023-05-20T06:50:03,2023-05-19T21:49:46,10806496000149,7090,104452729.33,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO PIAUI",E,F,2022
2022,2023-05-19T21:59:14,2023-05-19T21:59:14,10820882000195,54,1013702.65,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO AMAPA",E,F,2022
2022,2023-11-03T19:48:10,2023-05-19T20:02:05,10825373000155,7504,71560364.03,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE ALAGOAS - IF/AL",E,F,2022
2022,2023-11-03T19:48:10,2023-05-19T22:42:32,10830301000104,1546,45220178.03,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO SERTAO PERNAMBUCANO",E,F,2022
