numero_controle,contract_id,missing_fields_count,missing_fields
00000368000150-1-000044/2025,1233123,2,linkProcessoEletronico;fontesOrcamentarias
00000368000150-1-000045/2025,1154783,2,linkProcessoEletronico;fontesOrcamentarias
00000368000150-1-000046/2025,1243984,2,linkProcessoEletronico;fontesOrcamentarias
00000368000150-1-000048/2025,1246345,2,linkProcessoEletronico;fontesOrcamentarias
00000368000150-1-000049/2025,1254565,3,linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00001727000193-1-000017/2025,1158312,2,linkProcessoEletronico;fontesOrcamentarias
00001727000193-1-000022/2025,1215682,2,linkProcessoEletronico;fontesOrcamentarias
00001727000193-1-000023/2025,1154784,2,linkProcessoEletronico;fontesOrcamentarias
00001727000193-1-000024/2025,1252713,2,linkProcessoEletronico;fontesOrcamentarias
00003848000174-1-000010/2025,1258808,2,linkProcessoEletronico;fontesOrcamentarias
00007468000108-1-000001/2025,1248131,2,linkProcessoEletronico;fontesOrcamentarias
00007914000184-1-000072/2025,1254566,2,linkProcessoEletronico;fontesOrcamentarias
00037127000185-1-000009/2025,1248132,2,linkProcessoEletronico;fontesOrcamentarias
00037127000185-1-000010/2025,1252714,2,linkProcessoEletronico;fontesOrcamentarias
00037457000170-1-000006/2025,1215457,2,linkProcessoEletronico;fontesOrcamentarias
00037457000170-1-000007/2025,1215458,2,linkProcessoEletronico;fontesOrcamentarias
00037457000170-1-000008/2025,1215459,2,linkProcessoEletronico;fontesOrcamentarias
00038166000105-1-000089/2025,1088943,4,informacaoComplementar;linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00038166000105-1-000252/2025,1233128,2,linkProcessoEletronico;fontesOrcamentarias
00038166000105-1-000261/2025,1258980,2,linkProcessoEletronico;fontesOrcamentarias
00038166000105-1-000303/2024,844828,4,informacaoComplementar;linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00038174000143-1-000066/2025,1233129,2,linkProcessoEletronico;fontesOrcamentarias
00043711000143-1-000019/2025,1260977,2,linkProcessoEletronico;fontesOrcamentarias
00058163000125-1-000089/2025,1259645,2,linkProcessoEletronico;fontesOrcamentarias
00059311000126-1-000288/2025,1210986,3,linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00059311000126-1-000290/2025,1221637,4,informacaoComplementar;linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00059311000126-1-000308/2025,1243985,2,linkProcessoEletronico;fontesOrcamentarias
00059311000126-1-000311/2025,1247052,3,linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00059311000126-1-000317/2025,1250814,3,linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00059311000126-1-000320/2025,1252715,2,linkProcessoEletronico;fontesOrcamentarias
00059311000126-1-000321/2025,1252716,2,linkProcessoEletronico;fontesOrcamentarias
00059311000126-1-000322/2025,1252717,2,linkProcessoEletronico;fontesOrcamentarias
00059311000126-1-000323/2025,1254567,3,linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00059311000126-1-000327/2025,1254569,3,linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00059311000126-1-000328/2025,1258981,2,linkProcessoEletronico;fontesOrcamentarias
00070532000103-1-000067/2025,1090952,2,linkProcessoEletronico;fontesOrcamentarias
00070532000103-1-000072/2025,1090953,2,linkProcessoEletronico;fontesOrcamentarias
00070532000103-1-000111/2025,1248133,2,linkProcessoEletronico;fontesOrcamentarias
00070532000103-1-000112/2025,1252718,2,linkProcessoEletronico;fontesOrcamentarias
00070532000103-1-000113/2025,1252719,2,linkProcessoEletronico;fontesOrcamentarias
00079634000181-1-000007/2025,1154785,2,linkProcessoEletronico;fontesOrcamentarias
00082024000137-1-000106/2025,1195543,2,linkProcessoEletronico;fontesOrcamentarias
00082024000137-1-000107/2025,1195544,2,linkProcessoEletronico;fontesOrcamentarias
00082024000137-1-000108/2025,1195752,2,linkProcessoEletronico;fontesOrcamentarias
00082024000137-1-000113/2025,1195757,2,linkProcessoEletronico;fontesOrcamentarias
00082024000137-1-000114/2025,1221964,2,linkProcessoEletronico;fontesOrcamentarias
00082024000137-1-000115/2025,1221965,2,linkProcessoEletronico;fontesOrcamentarias
00082024000137-1-000116/2025,1248051,2,linkProcessoEletronico;fontesOrcamentarias
00082024000137-1-000117/2025,1248134,2,linkProcessoEletronico;fontesOrcamentarias
00091238000170-1-000004/2023,282948,2,linkProcessoEletronico;fontesOrcamentarias
00091238000170-1-000006/2023,282949,2,linkProcessoEletronico;fontesOrcamentarias
00091652000189-1-000061/2025,1164653,2,linkProcessoEletronico;fontesOrcamentarias
00091652000189-1-000070/2025,1233130,2,linkProcessoEletronico;fontesOrcamentarias
00091652000189-1-000071/2025,1233131,2,linkProcessoEletronico;fontesOrcamentarias
00091652000189-1-000075/2025,1249763,2,linkProcessoEletronico;fontesOrcamentarias
00091652000189-1-000078/2025,1261832,3,linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00094821000134-1-000001/2025,388270,4,informacaoComplementar;linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00094821000134-1-000012/2025,1243986,2,linkProcessoEletronico;fontesOrcamentarias
00097857000171-1-000007/2025,1012168,2,linkProcessoEletronico;fontesOrcamentarias
00097857000171-1-000053/2025,1006506,2,linkProcessoEletronico;fontesOrcamentarias
00097857000171-1-000063/2025,1165166,2,linkProcessoEletronico;fontesOrcamentarias
00097857000171-1-000087/2025,1232905,2,linkProcessoEletronico;fontesOrcamentarias
00097857000171-1-000088/2025,1154786,2,linkProcessoEletronico;fontesOrcamentarias
00097857000171-1-000089/2025,1243987,2,linkProcessoEletronico;fontesOrcamentarias
00097857000171-1-000094/2025,1254572,2,linkProcessoEletronico;fontesOrcamentarias
00113035000218-1-000008/2025,1127829,4,informacaoComplementar;linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
