timestamp,numero_controle,fields_updated
2025-07-03T14:33:56.129190,00059311000126-1-000288/2025,44
2025-07-03T14:33:56.129190,00059311000126-1-000328/2025,44
2025-07-03T14:33:56.142215,00038166000105-1-000252/2025,44
2025-07-03T14:33:56.142215,00079634000181-1-000007/2025,44
2025-07-03T14:33:56.142215,00000368000150-1-000048/2025,44
2025-07-03T14:33:56.158568,00038166000105-1-000089/2025,44
2025-07-03T14:33:56.158568,00059311000126-1-000327/2025,44
2025-07-03T14:33:56.175487,00059311000126-1-000322/2025,44
2025-07-03T14:33:56.175487,00394452000103-1-013954/2025,44
2025-07-03T14:33:56.191823,00091652000189-1-000070/2025,44
2025-07-03T14:33:56.191823,00091238000170-1-000004/2023,44
2025-07-03T14:33:56.208445,00070532000103-1-000111/2025,44
2025-07-03T14:33:56.208445,00082024000137-1-000108/2025,44
2025-07-03T14:33:56.225302,00001727000193-1-000022/2025,44
2025-07-03T14:33:56.225302,00070532000103-1-000113/2025,44
2025-07-03T14:33:56.225302,00082024000137-1-000113/2025,44
2025-07-03T14:33:56.246148,00082024000137-1-000114/2025,44
2025-07-03T14:33:56.247123,00082024000137-1-000106/2025,44
2025-07-03T14:33:56.263534,00082024000137-1-000115/2025,44
2025-07-03T14:33:56.265583,00394452000103-1-013961/2025,44
2025-07-03T14:33:56.276656,00394452000103-1-013960/2025,44
2025-07-03T14:33:56.276656,00091652000189-1-000061/2025,44
2025-07-03T14:33:56.291157,00059311000126-1-000311/2025,44
2025-07-03T14:33:56.293322,00082024000137-1-000117/2025,44
2025-07-03T14:33:56.293322,00082024000137-1-000107/2025,44
2025-07-03T14:33:56.309379,00091238000170-1-000006/2023,44
2025-07-03T14:33:56.309379,00037457000170-1-000007/2025,44
2025-07-03T14:33:56.325165,00237537000170-1-000032/2025,44
2025-07-03T14:33:56.325165,00059311000126-1-000323/2025,44
2025-07-03T14:33:56.325165,00394452000103-1-013994/2025,44
2025-07-03T14:33:56.341789,00394452000103-1-013990/2025,44
2025-07-03T14:33:56.341789,00394452000103-1-013968/2025,44
2025-07-03T14:33:56.363792,00394452000103-1-013992/2025,44
2025-07-03T14:33:56.363792,00394452000103-1-013986/2025,44
2025-07-03T14:33:56.376252,00394452000103-1-014014/2025,44
2025-07-03T14:33:56.376252,00082024000137-1-000116/2025,44
2025-07-03T14:33:56.376252,00394452000103-1-013998/2025,44
2025-07-03T14:33:56.392786,00394452000103-1-014023/2025,44
2025-07-03T14:33:56.392786,00394452000103-1-014026/2025,44
2025-07-03T14:33:56.408435,00394452000103-1-013999/2025,44
2025-07-03T14:33:56.408435,00394452000103-1-014034/2025,44
2025-07-03T14:33:56.425080,00402552000126-1-000242/2025,44
2025-07-03T14:33:56.425080,00394452000103-1-014038/2025,44
2025-07-03T14:33:56.425080,00394452000103-1-014032/2025,44
2025-07-03T14:33:56.441715,00394460000141-1-000224/2022,44
2025-07-03T14:33:56.441715,00394452000103-1-014020/2025,44
2025-07-03T14:33:56.441715,00394452000103-1-014028/2025,44
2025-07-03T14:33:56.458610,00394452000103-1-014039/2025,44
2025-07-03T14:33:56.458610,00394452000103-1-013995/2025,44
2025-07-03T14:33:56.475106,00394452000103-1-014015/2025,44
2025-07-03T14:33:56.480394,00394452000103-1-014000/2025,44
2025-07-03T14:33:56.492089,00394452000103-1-014037/2025,44
2025-07-03T14:33:56.497770,00394452000103-1-014003/2025,44
2025-07-03T14:33:56.509069,00394452000103-1-014011/2025,44
2025-07-03T14:33:56.512469,00394452000103-1-014019/2025,44
2025-07-03T14:33:56.525614,00394452000103-1-014098/2025,44
2025-07-03T14:33:56.525614,00394452000103-1-013988/2025,44
2025-07-03T14:33:56.525614,00396895000125-1-000283/2025,44
2025-07-03T14:33:56.542038,00402552000126-1-000631/2024,44
2025-07-03T14:33:56.542038,00414607000118-1-000200/2025,44
2025-07-03T14:33:56.556783,00421772000105-1-000032/2025,44
2025-07-03T14:33:56.558286,00414607000118-1-000197/2025,44
2025-07-03T14:33:56.565413,00419810000187-1-000029/2025,44
2025-07-03T14:33:56.574945,00394452000103-1-014005/2025,44
2025-07-03T14:33:56.574945,00425001000188-1-000001/2025,44
2025-07-03T14:33:56.591834,00444232000139-1-000274/2025,44
2025-07-03T14:33:56.596450,00444559000100-1-000006/2025,44
2025-07-03T14:33:56.596450,00474000000123-1-000005/2025,44
2025-07-03T14:33:56.612929,00474000000123-1-000006/2025,44
2025-07-03T14:33:56.616865,00444232000139-1-000296/2025,44
2025-07-03T14:33:56.626370,00444232000139-1-000276/2025,44
2025-07-03T14:33:56.626370,00444232000139-1-000284/2025,44
2025-07-03T14:33:56.642978,00444232000139-1-000278/2025,44
2025-07-03T14:33:56.644730,01071426000107-1-000004/2025,44
2025-07-03T14:33:56.644730,00444232000139-1-000295/2025,44
2025-07-03T14:33:56.659948,01080759000194-1-000010/2025,44
2025-07-03T14:33:56.659948,01086979000125-1-000001/2025,44
2025-07-03T14:33:56.676407,00508903000188-1-001417/2025,44
2025-07-03T14:33:56.676407,01080759000194-1-000003/2025,44
2025-07-03T14:33:56.693083,00470127000174-1-000239/2025,44
2025-07-03T14:33:56.698630,00444232000139-1-000275/2025,44
2025-07-03T14:33:56.707757,01080759000194-1-000002/2025,44
2025-07-03T14:33:56.715239,00476612000155-1-000333/2025,44
2025-07-03T14:33:56.715239,00444232000139-1-000257/2025,44
2025-07-03T14:33:56.726389,00460408000146-1-000059/2024,44
2025-07-03T14:33:56.726389,01105329000180-1-000002/2025,44
2025-07-03T14:33:56.745032,01095667000188-1-000015/2025,44
2025-07-03T14:33:56.745032,01105329000180-1-000102/2025,44
2025-07-03T14:33:56.758889,01105329000180-1-000111/2025,44
2025-07-03T14:33:56.758889,01105626000125-1-000077/2025,44
2025-07-03T14:33:56.777438,01080759000194-1-000001/2025,44
2025-07-03T14:33:56.777438,01105626000125-1-000078/2025,44
2025-07-03T14:33:56.794949,01111142000199-1-000005/2023,44
2025-07-03T14:33:56.801589,01111142000199-1-000004/2025,44
2025-07-03T14:33:56.808665,01111142000199-1-000014/2023,44
2025-07-03T14:33:56.814873,01111142000199-1-000035/2024,44
2025-07-03T14:33:56.814873,01105626000125-1-000076/2025,44
2025-07-03T14:33:56.825329,01111142000199-1-000034/2024,44
2025-07-03T14:33:56.825329,01611858000155-1-000070/2025,44
2025-07-03T14:33:56.840083,01111142000199-1-000010/2023,44
2025-07-03T14:33:56.848068,01111142000199-1-000008/2023,44
2025-07-03T14:33:56.856075,01111142000199-1-000040/2024,44
2025-07-03T14:33:56.866375,01611858000155-1-000058/2025,44
2025-07-03T14:33:56.875296,01181169000158-1-000002/2025,44
2025-07-03T14:33:56.885810,01611858000155-1-000072/2025,44
2025-07-03T14:33:56.896206,01123678000124-1-000027/2025,44
2025-07-03T14:33:56.902207,01611858000155-1-000019/2025,44
2025-07-03T14:33:56.918031,01111142000199-1-000030/2024,44
2025-07-03T14:33:56.927255,01111142000199-1-000006/2025,44
2025-07-03T14:33:56.935264,01111142000199-1-000006/2023,44
2025-07-03T14:33:56.945185,01612269000191-1-000024/2025,44
2025-07-03T14:33:56.953546,01612318000196-1-000034/2025,44
2025-07-03T14:33:56.960581,01612323000107-1-000035/2025,44
2025-07-03T14:33:56.960581,01612319000130-1-000008/2025,44
2025-07-03T14:33:56.978577,01612325000198-1-000055/2025,44
2025-07-03T14:33:56.992799,01612333000134-1-000007/2025,44
2025-07-03T14:33:56.995627,01612327000187-1-000021/2025,44
2025-07-03T14:33:57.010572,01612325000198-1-000056/2025,44
2025-07-03T14:33:57.014324,01612336000178-1-000013/2025,44
2025-07-03T14:33:57.042874,01612345000169-1-000015/2025,44
2025-07-03T14:33:57.045431,01614376000159-1-000097/2024,44
2025-07-03T14:33:57.061883,01612348000100-1-000049/2025,44
